file	title	source	site	artist	category	page_title
槟榔河欢歌.txt	槟榔河欢歌	jianpucn-248334	jianpucn	宋祖英		槟榔河欢歌（苏庆兴词 孟庆云曲） 宋祖英 歌谱简谱网
中华民族.txt	中华民族	jianpucn-248338	jianpucn	杨洪基		中华民族（翟凤岗词 臧云飞 王锐曲） 杨洪基 歌谱简谱网
问君能有几多愁.txt	问君能有几多愁	jianpucn-248461	jianpucn	费玉清		问君能有几多愁（同名电视剧片尾曲） 费玉清 歌谱简谱网
吉祥藏历年.txt	吉祥藏历年	jianpucn-248582	jianpucn	降央卓玛		吉祥藏历年 降央卓玛 歌谱简谱网
梦姑娘.txt	梦姑娘	jianpucn-248702	jianpucn	腾格尔		梦姑娘 腾格尔 歌谱简谱网
牵蚕丝.txt	牵蚕丝	jianpucn-248847	jianpucn	蔡幸娟		牵蚕丝（电视剧《双飞雁》插曲） 蔡幸娟 歌谱简谱网
象牙舟.txt	象牙舟	jianpucn-248858	jianpucn	蔡幸娟		象牙舟 蔡幸娟 歌谱简谱网
我的母亲.txt	我的母亲	jianpucn-249101	jianpucn	降央卓玛		我的母亲（莱达布尔吉词 色斯仁其木曲） 降央卓玛 歌谱简谱网
贺新郎_别友.txt	贺新郎 别友	jianpucn-249499	jianpucn	宋祖英		贺新郎 别友（电视剧《毛泽东》插曲） 宋祖英 歌谱简谱网
情怀.txt	情怀	jianpucn-250422	jianpucn	阎维文		情怀（） 阎维文 歌谱简谱网
我爱秋莲.txt	我爱秋莲	jianpucn-250545	jianpucn	高胜美		我爱秋莲 高胜美 歌谱简谱网
天呀_蓝个英英.txt	天呀 蓝个英英	jianpucn-250695	jianpucn	阎维文		天呀 蓝个英英（音乐电视剧《郭兰英》片尾主题歌） 阎维文 歌谱简谱网
黄果树瀑布.txt	黄果树瀑布	jianpucn-250887	jianpucn	宋祖英		黄果树瀑布（） 宋祖英 歌谱简谱网
大平原.txt	大平原	jianpucn-250899	jianpucn	王宏伟		大平原 王宏伟 歌谱简谱网
情动白云边.txt	情动白云边	jianpucn-250915	jianpucn	韩磊		情动白云边 韩磊 歌谱简谱网
情系半生.txt	情系半生	jianpucn-251372	jianpucn	张学友		情系半生 张学友 歌谱简谱网
好情人.txt	好情人	jianpucn-251957	jianpucn	孟庭苇		好情人 孟庭苇 歌谱简谱网
两小无猜.txt	两小无猜	jianpucn-251958	jianpucn	孟庭苇		两小无猜 孟庭苇 歌谱简谱网
其实我还是有些在乎.txt	其实我还是有些在乎	jianpucn-251959	jianpucn	孟庭苇		其实我还是有些在乎 孟庭苇 歌谱简谱网
心的旅途.txt	心的旅途	jianpucn-251960	jianpucn	孟庭苇		心的旅途 孟庭苇 歌谱简谱网
雨过心晴.txt	雨过心晴	jianpucn-251961	jianpucn	孟庭苇		雨过心晴 孟庭苇 歌谱简谱网
紫浣花.txt	紫浣花	jianpucn-251962	jianpucn	孟庭苇		紫浣花 孟庭苇 歌谱简谱网
不让你看到我的泪.txt	不让你看到我的泪	jianpucn-251973	jianpucn	孟庭苇		不让你看到我的泪 孟庭苇 歌谱简谱网
乘风乘月乘忧去.txt	乘风乘月乘忧去	jianpucn-251974	jianpucn	孟庭苇		乘风乘月乘忧去 孟庭苇 歌谱简谱网
飞梦.txt	飞梦	jianpucn-251975	jianpucn	孟庭苇		飞梦 孟庭苇 歌谱简谱网
风_告诉我.txt	风 告诉我	jianpucn-251976	jianpucn	孟庭苇		风 告诉我 孟庭苇 歌谱简谱网
风是我回忆的方向.txt	风是我回忆的方向	jianpucn-251977	jianpucn	孟庭苇		风是我回忆的方向 孟庭苇 歌谱简谱网
风里的梦.txt	风里的梦	jianpucn-252065	jianpucn	孟庭苇		风里的梦（） 孟庭苇 歌谱简谱网
