source	site	判定	http	备注	最终地址	原URL	页面标题	语料曲名
qupu123-261382	qupu123	ok(曲名命中)	200		https://www.qupu123.com/jipu/p261382.html	https://www.qupu123.com/jipu/p261382.html	中国人 （李安修词 陈耀川曲）_岭南印象个人制谱园地_中国曲谱网	中国人
jianpucn-89408	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/89/89408.htm	http://www.jianpu.cn/pu/89/89408.htm	中国兵 歌谱简谱网	中国兵
qupu123-333280	qupu123	ok(曲名命中)	200		https://www.qupu123.com/minge/sizi/p333280.html	https://www.qupu123.com/minge/sizi/p333280.html	中国军人 （云剑词 张新用曲）_民歌曲谱_中国曲谱网	中国军人
jianpucn-158788	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/15/158788.htm	http://www.jianpu.cn/pu/15/158788.htm	中国味道 歌谱简谱网	中国味道
qupu123-336026	qupu123	打不开:URLError	0		https://www.qupu123.com/minge/sanzi/p336026.html	https://www.qupu123.com/minge/sanzi/p336026.html		东峡令
jianpucn-134836	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/13/134836.htm	http://www.jianpu.cn/pu/13/134836.htm	中国在收获 歌谱简谱网	中国在收获
qupu123-334877	qupu123	ok(曲名命中)	200		https://www.qupu123.com/minge/sizi/p334877.html	https://www.qupu123.com/minge/sizi/p334877.html	中国农民 （牟耀武词 陈铁生曲）_民歌曲谱_中国曲谱网	中国农民
qupu123-333858	qupu123	ok(曲名命中)	200		https://www.qupu123.com/minge/sizi/p333858.html	https://www.qupu123.com/minge/sizi/p333858.html	中国出彩 （李晓军词 陈密娜曲）_民歌曲谱_中国曲谱网	中国出彩
jianpucn-437292	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/43/437292.htm	http://www.jianpu.cn/pu/43/437292.htm	中国大舞台（70周年国庆专辑） 殷秀梅 歌谱简谱网	中国大舞台
qupu123-333383	qupu123	ok(曲名命中)	200		https://www.qupu123.com/minge/sizi/p333383.html	https://www.qupu123.com/minge/sizi/p333383.html	中国力量 （白传英词 刘汉生曲）_民歌曲谱_中国曲谱网	中国力量
jianpucn-121018	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/12/121018.htm	http://www.jianpu.cn/pu/12/121018.htm	中国大舞合 歌谱简谱网	中国大舞合
jianpucn-40277	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/40/40277.htm	http://www.jianpu.cn/pu/40/40277.htm	中国好运 歌谱简谱网	中国好运
qupu123-328363	qupu123	ok(曲名命中)	200		https://www.qupu123.com/meisheng/bazi/p328363.html	https://www.qupu123.com/meisheng/bazi/p328363.html	中国在十月里歌唱 _美声曲谱_中国曲谱网	中国在十月里歌唱
qupu123-341268	qupu123	打不开:URLError	0		https://www.qupu123.com/jipu/p341268.html	https://www.qupu123.com/jipu/p341268.html		东方红
jianpucn-436738	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/43/436738.htm	http://www.jianpu.cn/pu/43/436738.htm	中国应急救援之歌 王宏伟 歌谱简谱网	中国应急救援之歌
