dir	path_in_images_prep	source	in_corpus	nline	staff	source_url
冲动的惩罚-弹唱 吉他类 流行__jianpucn-112888	images-prep/jianpucn-daolang/冲动的惩罚-弹唱 吉他类 流行__jianpucn-112888	jianpucn-112888	0	106	6	
黄玫瑰 （ G调指法原版编配）__jianpucn-472153	images-prep/jianpucn-daolang/黄玫瑰 （ G调指法原版编配）__jianpucn-472153	jianpucn-472153	0	7	6	
《恰似你的温柔》（单吉他弹唱版）__jianpucn-347875	images-prep/jianpucn-denglijun/《恰似你的温柔》（单吉他弹唱版）__jianpucn-347875	jianpucn-347875	0	61	6	
《月亮代表我的心》 C调入门版 编配 猴哥吉他教学__jianpucn-439132	images-prep/jianpucn-denglijun/《月亮代表我的心》 C调入门版 编配 猴哥吉他教学__jianpucn-439132	jianpucn-439132	0	54	6	
《月亮代表我的心》 酷音小伟吉他弹唱教学吉他自学教程__jianpucn-425775	images-prep/jianpucn-denglijun/《月亮代表我的心》 酷音小伟吉他弹唱教学吉他自学教程__jianpucn-425775	jianpucn-425775	0	49	6	
世界多美丽（钢琴版）__jianpucn-236926	images-prep/jianpucn-denglijun/世界多美丽（钢琴版）__jianpucn-236926	jianpucn-236926	0	114	5	
在水一方 伴奏 带歌词__jianpucn-218755	images-prep/jianpucn-denglijun/在水一方 伴奏 带歌词__jianpucn-218755	jianpucn-218755	0	99	5	
在水一方-邓丽君-吉他谱__jianpucn-208126	images-prep/jianpucn-denglijun/在水一方-邓丽君-吉他谱__jianpucn-208126	jianpucn-208126	0	50	6	
在水一方（伴奏）__jianpucn-236784	images-prep/jianpucn-denglijun/在水一方（伴奏）__jianpucn-236784	jianpucn-236784	0	110	5	
在水一方（古典吉他独奏谱）五线谱__jianpucn-90314	images-prep/jianpucn-denglijun/在水一方（古典吉他独奏谱）五线谱__jianpucn-90314	jianpucn-90314	0	59	5	
夜来香 钢琴独奏版__jianpucn-237790	images-prep/jianpucn-denglijun/夜来香 钢琴独奏版__jianpucn-237790	jianpucn-237790	0	118	5	
小城故事（吉他独奏谱）__jianpucn-90480	images-prep/jianpucn-denglijun/小城故事（吉他独奏谱）__jianpucn-90480	jianpucn-90480	0	57	5	
