dir	path_in_images_prep	source	in_corpus	nline	staff	source_url
可 （ 张靓颖 C调指法原版编配）__jianpucn-458122	images-prep/jianpucn-xuezhiqian/可 （ 张靓颖 C调指法原版编配）__jianpucn-458122	jianpucn-458122	0	45	6	
天外来物 （ G调原版编配）__jianpucn-461018	images-prep/jianpucn-xuezhiqian/天外来物 （ G调原版编配）__jianpucn-461018	jianpucn-461018	0	48	6	
天外来物 （ G调指法编配）__jianpucn-465721	images-prep/jianpucn-xuezhiqian/天外来物 （ G调指法编配）__jianpucn-465721	jianpucn-465721	0	26	6	
我好像在哪见过你（吉他 ）__jianpucn-401999	images-prep/jianpucn-xuezhiqian/我好像在哪见过你（吉他 ）__jianpucn-401999	jianpucn-401999	0	58	6	
方圆几里 薛之谦 C调简单版吉他谱 唯音悦制谱__jianpucn-405687	images-prep/jianpucn-xuezhiqian/方圆几里 薛之谦 C调简单版吉他谱 唯音悦制谱__jianpucn-405687	jianpucn-405687	0	77	6	
方圆几里 （ C调原版编配）__jianpucn-466422	images-prep/jianpucn-xuezhiqian/方圆几里 （ C调原版编配）__jianpucn-466422	jianpucn-466422	0	56	6	
无数 （ C调指法原版编配）__jianpucn-467135	images-prep/jianpucn-xuezhiqian/无数 （ C调指法原版编配）__jianpucn-467135	jianpucn-467135	0	25	6	
暧昧 （ C调指法简单版编配）__jianpucn-469974	images-prep/jianpucn-xuezhiqian/暧昧 （ C调指法简单版编配）__jianpucn-469974	jianpucn-469974	0	47	7	
木偶人 （ G调指法原版编配）__jianpucn-469572	images-prep/jianpucn-xuezhiqian/木偶人 （ G调指法原版编配）__jianpucn-469572	jianpucn-469572	0	46	6	
木偶人(原声独奏)__jianpucn-436746	images-prep/jianpucn-xuezhiqian/木偶人(原声独奏)__jianpucn-436746	jianpucn-436746	0	77	5	
木偶人尤克里里谱（ 尤克里里单音指弹谱）__jianpucn-462466	images-prep/jianpucn-xuezhiqian/木偶人尤克里里谱（ 尤克里里单音指弹谱）__jianpucn-462466	jianpucn-462466	0	26	4	
来日方长 （ 黄龄 G调原版编配）__jianpucn-462654	images-prep/jianpucn-xuezhiqian/来日方长 （ 黄龄 G调原版编配）__jianpucn-462654	jianpucn-462654	0	45	6	
洛城 （ C调原版编配）__jianpucn-457798	images-prep/jianpucn-xuezhiqian/洛城 （ C调原版编配）__jianpucn-457798	jianpucn-457798	0	53	6	
演员（酷音小伟编配）__jianpucn-313839	images-prep/jianpucn-xuezhiqian/演员（酷音小伟编配）__jianpucn-313839	jianpucn-313839	0	59	6	
爱的期限（钢琴弹唱）__jianpucn-302722	images-prep/jianpucn-xuezhiqian/爱的期限（钢琴弹唱）__jianpucn-302722	jianpucn-302722	0	101	5	
狐狸( G调指法 弹唱 )__jianpucn-445550	images-prep/jianpucn-xuezhiqian/狐狸( G调指法 弹唱 )__jianpucn-445550	jianpucn-445550	0	34	7	
笑场 （ G调指法原版编配）__jianpucn-466231	images-prep/jianpucn-xuezhiqian/笑场 （ G调指法原版编配）__jianpucn-466231	jianpucn-466231	0	52	6	
绅士 （ G调指法原版编配）__jianpucn-461958	images-prep/jianpucn-xuezhiqian/绅士 （ G调指法原版编配）__jianpucn-461958	jianpucn-461958	0	67	6	
背过手尤克里里谱（ C调带前奏版）__jianpucn-458664	images-prep/jianpucn-xuezhiqian/背过手尤克里里谱（ C调带前奏版）__jianpucn-458664	jianpucn-458664	0	5	4	
认真的雪 （ C调原版编配）__jianpucn-462999	images-prep/jianpucn-xuezhiqian/认真的雪 （ C调原版编配）__jianpucn-462999	jianpucn-462999	0	51	6	
违背的青春 （ C调指法）__jianpucn-457600	images-prep/jianpucn-xuezhiqian/违背的青春 （ C调指法）__jianpucn-457600	jianpucn-457600	0	42	6	
（ C调原版编配）__jianpucn-461035	images-prep/jianpucn-xuezhiqian/（ C调原版编配）__jianpucn-461035	jianpucn-461035	0	39	6	
城里的月光 歌曲类 钢琴伴奏谱__jianpucn-112288	images-prep/jianpucn-xumeijing/城里的月光 歌曲类 钢琴伴奏谱__jianpucn-112288	jianpucn-112288	0	176	5	
放你在心里(辵辵弹唱版)__jianpucn-176120	images-prep/jianpucn-xumeijing/放你在心里(辵辵弹唱版)__jianpucn-176120	jianpucn-176120	0	737	5	
阳光总在风雨后-简易版 键盘类 钢琴__jianpucn-114663	images-prep/jianpucn-xumeijing/阳光总在风雨后-简易版 键盘类 钢琴__jianpucn-114663	jianpucn-114663	0	102	5	
《故乡》 简单版 吉他弹唱教学__jianpucn-440838	images-prep/jianpucn-xuwei/《故乡》 简单版 吉他弹唱教学__jianpucn-440838	jianpucn-440838	0	65	6	
《旅行》 C调初级版 吉他教学__jianpucn-452616	images-prep/jianpucn-xuwei/《旅行》 C调初级版 吉他教学__jianpucn-452616	jianpucn-452616	0	75	6	
《曾经的你》 初级简单版 吉他弹唱教学__jianpucn-446635	images-prep/jianpucn-xuwei/《曾经的你》 初级简单版 吉他弹唱教学__jianpucn-446635	jianpucn-446635	0	71	6	
《蓝莲花》 中级版 吉他弹唱教学__jianpucn-432424	images-prep/jianpucn-xuwei/《蓝莲花》 中级版 吉他弹唱教学__jianpucn-432424	jianpucn-432424	0	68	6	
《蓝莲花》 简单版 吉他弹唱教学__jianpucn-432425	images-prep/jianpucn-xuwei/《蓝莲花》 简单版 吉他弹唱教学__jianpucn-432425	jianpucn-432425	0	72	6	
像风一样自由 （ C调原版编配）__jianpucn-466663	images-prep/jianpucn-xuwei/像风一样自由 （ C调原版编配）__jianpucn-466663	jianpucn-466663	0	49	6	
喝茶去-弹唱 吉他类 流行__jianpucn-112924	images-prep/jianpucn-xuwei/喝茶去-弹唱 吉他类 流行__jianpucn-112924	jianpucn-112924	0	87	6	
完美生活 （ C调原版编配）__jianpucn-457783	images-prep/jianpucn-xuwei/完美生活 （ C调原版编配）__jianpucn-457783	jianpucn-457783	0	46	6	
家 （ D调原版指法编配）__jianpucn-457837	images-prep/jianpucn-xuwei/家 （ D调原版指法编配）__jianpucn-457837	jianpucn-457837	0	48	6	
我思念的城市 吉他__jianpucn-220565	images-prep/jianpucn-xuwei/我思念的城市 吉他__jianpucn-220565	jianpucn-220565	0	95	6	
故乡（精准吉他前奏 侍书琴社编配）__jianpucn-347579	images-prep/jianpucn-xuwei/故乡（精准吉他前奏 侍书琴社编配）__jianpucn-347579	jianpucn-347579	0	61	6	
旅行 （ D调原版编配）__jianpucn-467127	images-prep/jianpucn-xuwei/旅行 （ D调原版编配）__jianpucn-467127	jianpucn-467127	0	39	6	
旅行 （ D调指法原版编配）__jianpucn-466224	images-prep/jianpucn-xuwei/旅行 （ D调指法原版编配）__jianpucn-466224	jianpucn-466224	0	51	6	
旅行 （ G调指法原版编配）__jianpucn-463178	images-prep/jianpucn-xuwei/旅行 （ G调指法原版编配）__jianpucn-463178	jianpucn-463178	0	54	6	
旅行 （ G调指法简单版编配）__jianpucn-469973	images-prep/jianpucn-xuwei/旅行 （ G调指法简单版编配）__jianpucn-469973	jianpucn-469973	0	54	6	
旅行-弹唱 吉他类 流行__jianpucn-113003	images-prep/jianpucn-xuwei/旅行-弹唱 吉他类 流行__jianpucn-113003	jianpucn-113003	0	109	6	
旅行－完整版 吉他谱 弹唱谱__jianpucn-191122	images-prep/jianpucn-xuwei/旅行－完整版 吉他谱 弹唱谱__jianpucn-191122	jianpucn-191122	0	25	5	
时光 （ C调指法原版编配）__jianpucn-471595	images-prep/jianpucn-xuwei/时光 （ C调指法原版编配）__jianpucn-471595	jianpucn-471595	0	71	6	
星空 （ G调指法扫弦版）__jianpucn-467487	images-prep/jianpucn-xuwei/星空 （ G调指法扫弦版）__jianpucn-467487	jianpucn-467487	0	62	6	
星空（加入单吉他前奏间奏 侍书琴社编配）__jianpucn-347580	images-prep/jianpucn-xuwei/星空（加入单吉他前奏间奏 侍书琴社编配）__jianpucn-347580	jianpucn-347580	0	60	6	
星空（吉他 ）__jianpucn-293594	images-prep/jianpucn-xuwei/星空（吉他 ）__jianpucn-293594	jianpucn-293594	0	71	6	
晴朗 （ G调指法扫弦版编配）__jianpucn-462648	images-prep/jianpucn-xuwei/晴朗 （ G调指法扫弦版编配）__jianpucn-462648	jianpucn-462648	0	75	6	
曾经的你 （ D调原版编配）__jianpucn-466659	images-prep/jianpucn-xuwei/曾经的你 （ D调原版编配）__jianpucn-466659	jianpucn-466659	0	50	6	
曾经的你 （ E调指法原版编配）__jianpucn-458333	images-prep/jianpucn-xuwei/曾经的你 （ E调指法原版编配）__jianpucn-458333	jianpucn-458333	0	52	6	
每一刻都是崭新的 （ F调指法）__jianpucn-458457	images-prep/jianpucn-xuwei/每一刻都是崭新的 （ F调指法）__jianpucn-458457	jianpucn-458457	0	47	6	
漫步( 编配 )__jianpucn-436499	images-prep/jianpucn-xuwei/漫步( 编配 )__jianpucn-436499	jianpucn-436499	0	72	6	
生活不止眼前的苟且（杨鑫编配版）__jianpucn-348529	images-prep/jianpucn-xuwei/生活不止眼前的苟且（杨鑫编配版）__jianpucn-348529	jianpucn-348529	0	55	6	
礼物 （ D调指法原版编配）__jianpucn-467630	images-prep/jianpucn-xuwei/礼物 （ D调指法原版编配）__jianpucn-467630	jianpucn-467630	0	50	6	
第三极（ 编配版）__jianpucn-316118	images-prep/jianpucn-xuwei/第三极（ 编配版）__jianpucn-316118	jianpucn-316118	0	35	6	
美丽的女人（吉他弹唱）__jianpucn-230039	images-prep/jianpucn-xuwei/美丽的女人（吉他弹唱）__jianpucn-230039	jianpucn-230039	0	68	6	
蓝莲花 （ C调双吉他版）__jianpucn-457484	images-prep/jianpucn-xuwei/蓝莲花 （ C调双吉他版）__jianpucn-457484	jianpucn-457484	0	55	6	
蓝莲花 （ C调指法简单版编配）__jianpucn-463615	images-prep/jianpucn-xuwei/蓝莲花 （ C调指法简单版编配）__jianpucn-463615	jianpucn-463615	0	62	6	
蓝莲花- 阿涛指弹吉他谱__jianpucn-171821	images-prep/jianpucn-xuwei/蓝莲花- 阿涛指弹吉他谱__jianpucn-171821	jianpucn-171821	0	45	6	
蓝莲花-独奏__jianpucn-173225	images-prep/jianpucn-xuwei/蓝莲花-独奏__jianpucn-173225	jianpucn-173225	0	25	6	
蓝莲花吉他独奏版__jianpucn-132533	images-prep/jianpucn-xuwei/蓝莲花吉他独奏版__jianpucn-132533	jianpucn-132533	0	59	6	
许巍《故乡》吉他谱 喀什怒放__jianpucn-149233	images-prep/jianpucn-xuwei/许巍《故乡》吉他谱 喀什怒放__jianpucn-149233	jianpucn-149233	0	51	6	
那一年 （ C调原版编配）__jianpucn-457659	images-prep/jianpucn-xuwei/那一年 （ C调原版编配）__jianpucn-457659	jianpucn-457659	0	36	6	
青鸟II（高清吉他六线谱）__jianpucn-145776	images-prep/jianpucn-xuwei/青鸟II（高清吉他六线谱）__jianpucn-145776	jianpucn-145776	0	93	6	
东方的太阳东方的月亮(五线谱_简谱对照)__jianpucn-44771	images-prep/jianpucn-yanweiwen/东方的太阳东方的月亮(五线谱_简谱对照)__jianpucn-44771	jianpucn-44771	0	89	5	
为祖国守岁(五线谱_简谱对照)__jianpucn-43835	images-prep/jianpucn-yanweiwen/为祖国守岁(五线谱_简谱对照)__jianpucn-43835	jianpucn-43835	0	59	5	
想家的时候(五线谱_简谱对照)__jianpucn-43816	images-prep/jianpucn-yanweiwen/想家的时候(五线谱_简谱对照)__jianpucn-43816	jianpucn-43816	0	71	5	
说句心里话(五线谱_简谱对照)__jianpucn-42650	images-prep/jianpucn-yanweiwen/说句心里话(五线谱_简谱对照)__jianpucn-42650	jianpucn-42650	0	61	5	
阳光路上伴奏正谱__jianpucn-158082	images-prep/jianpucn-yanweiwen/阳光路上伴奏正谱__jianpucn-158082	jianpucn-158082	0	22	6	
我可以抱你吗吉他__jianpucn-220386	images-prep/jianpucn-zhanghuimei/我可以抱你吗吉他__jianpucn-220386	jianpucn-220386	0	7	7	
站在高岗上独奏版__jianpucn-175904	images-prep/jianpucn-zhanghuimei/站在高岗上独奏版__jianpucn-175904	jianpucn-175904	0	828	5	
血腥爱情故事 （ G调原版编配）__jianpucn-471943	images-prep/jianpucn-zhanghuimei/血腥爱情故事 （ G调原版编配）__jianpucn-471943	jianpucn-471943	0	83	12	
《我的中国心》钢琴弹唱版__jianpucn-235393	images-prep/jianpucn-zhangmingmin/《我的中国心》钢琴弹唱版__jianpucn-235393	jianpucn-235393	0	139	5	
一剪梅 吉他独奏谱（五线谱）__jianpucn-90641	images-prep/jianpucn-zhangmingmin/一剪梅 吉他独奏谱（五线谱）__jianpucn-90641	jianpucn-90641	0	59	5	
我的中国心 （ C调原版编配）__jianpucn-468694	images-prep/jianpucn-zhangmingmin/我的中国心 （ C调原版编配）__jianpucn-468694	jianpucn-468694	0	56	6	
从开始到现在 弹唱版 键盘类 钢琴__jianpucn-113489	images-prep/jianpucn-zhangxinzhe/从开始到现在 弹唱版 键盘类 钢琴__jianpucn-113489	jianpucn-113489	0	35	5	
信仰 （ G调指法原版编配）__jianpucn-458229	images-prep/jianpucn-zhangxinzhe/信仰 （ G调指法原版编配）__jianpucn-458229	jianpucn-458229	0	54	6	
白月光尤克里里谱（ F调带前奏版）__jianpucn-458426	images-prep/jianpucn-zhangxinzhe/白月光尤克里里谱（ F调带前奏版）__jianpucn-458426	jianpucn-458426	0	113	4	
白月光－简易版 键盘类 钢琴__jianpucn-115266	images-prep/jianpucn-zhangxinzhe/白月光－简易版 键盘类 钢琴__jianpucn-115266	jianpucn-115266	0	225	5	
《一千个伤心的理由》 G调入门版 编配 猴哥吉他教学__jianpucn-439994	images-prep/jianpucn-zhangxueyou/《一千个伤心的理由》 G调入门版 编配 猴哥吉他教学__jianpucn-439994	jianpucn-439994	0	53	6	
《如果这都不算爱》 C调入门版 编配 猴哥吉他教学__jianpucn-439207	images-prep/jianpucn-zhangxueyou/《如果这都不算爱》 C调入门版 编配 猴哥吉他教学__jianpucn-439207	jianpucn-439207	0	57	6	
《情网》吉他六线谱—至尊宝编配版本__jianpucn-143619	images-prep/jianpucn-zhangxueyou/《情网》吉他六线谱—至尊宝编配版本__jianpucn-143619	jianpucn-143619	0	45	6	
《遥远的她》 简单版 吉他弹唱教学__jianpucn-431588	images-prep/jianpucn-zhangxueyou/《遥远的她》 简单版 吉他弹唱教学__jianpucn-431588	jianpucn-431588	0	61	6	
一千个伤心的理由 弹唱__jianpucn-218664	images-prep/jianpucn-zhangxueyou/一千个伤心的理由 弹唱__jianpucn-218664	jianpucn-218664	0	95	5	
一千个伤心的理由（金龙鱼编配版）__jianpucn-342831	images-prep/jianpucn-zhangxueyou/一千个伤心的理由（金龙鱼编配版）__jianpucn-342831	jianpucn-342831	0	85	5	
一路上有你 歌曲类 钢琴伴奏谱__jianpucn-112812	images-prep/jianpucn-zhangxueyou/一路上有你 歌曲类 钢琴伴奏谱__jianpucn-112812	jianpucn-112812	0	334	5	
不想失去你（吉他弹唱）__jianpucn-231641	images-prep/jianpucn-zhangxueyou/不想失去你（吉他弹唱）__jianpucn-231641	jianpucn-231641	0	74	6	
二分之一的幸福(《吻别 歌曲改编的钢琴曲》)__jianpucn-419919	images-prep/jianpucn-zhangxueyou/二分之一的幸福(《吻别 歌曲改编的钢琴曲》)__jianpucn-419919	jianpucn-419919	0	31	5	
偷心 吉他类 流行__jianpucn-117721	images-prep/jianpucn-zhangxueyou/偷心 吉他类 流行__jianpucn-117721	jianpucn-117721	0	3	5	
又十年 （ C调指法原版编配）__jianpucn-468269	images-prep/jianpucn-zhangxueyou/又十年 （ C调指法原版编配）__jianpucn-468269	jianpucn-468269	0	62	12	
天黑黑（）弹唱谱__jianpucn-231865	images-prep/jianpucn-zhangxueyou/天黑黑（）弹唱谱__jianpucn-231865	jianpucn-231865	0	113	5	
她来听我的演唱会（齐元义编配版）__jianpucn-343055	images-prep/jianpucn-zhangxueyou/她来听我的演唱会（齐元义编配版）__jianpucn-343055	jianpucn-343055	0	48	6	
如果爱 歌曲类 钢琴伴奏谱__jianpucn-112362	images-prep/jianpucn-zhangxueyou/如果爱 歌曲类 钢琴伴奏谱__jianpucn-112362	jianpucn-112362	0	130	5	
如果爱-简易版-弹唱 吉他类 流行__jianpucn-113138	images-prep/jianpucn-zhangxueyou/如果爱-简易版-弹唱 吉他类 流行__jianpucn-113138	jianpucn-113138	0	55	7	
寂寞的男人(《吻别 歌曲改编的钢琴曲》)__jianpucn-419921	images-prep/jianpucn-zhangxueyou/寂寞的男人(《吻别 歌曲改编的钢琴曲》)__jianpucn-419921	jianpucn-419921	0	44	5	
心如刀割(《吻别 歌曲改编的钢琴曲》)__jianpucn-419931	images-prep/jianpucn-zhangxueyou/心如刀割(《吻别 歌曲改编的钢琴曲》)__jianpucn-419931	jianpucn-419931	0	66	5	
心碎了无痕(《吻别 歌曲改编的钢琴曲》)__jianpucn-419932	images-prep/jianpucn-zhangxueyou/心碎了无痕(《吻别 歌曲改编的钢琴曲》)__jianpucn-419932	jianpucn-419932	0	32	5	
忘了哭-弹唱 吉他类 流行__jianpucn-113171	images-prep/jianpucn-zhangxueyou/忘了哭-弹唱 吉他类 流行__jianpucn-113171	jianpucn-113171	0	162	6	
慢慢 （ C调原版编配）__jianpucn-462707	images-prep/jianpucn-zhangxueyou/慢慢 （ C调原版编配）__jianpucn-462707	jianpucn-462707	0	42	6	
我真的受伤了 （ G调原版编配）__jianpucn-466230	images-prep/jianpucn-zhangxueyou/我真的受伤了 （ G调原版编配）__jianpucn-466230	jianpucn-466230	0	112	8	
我真的受伤了尤克里里谱（ C调四 ）__jianpucn-461877	images-prep/jianpucn-zhangxueyou/我真的受伤了尤克里里谱（ C调四 ）__jianpucn-461877	jianpucn-461877	0	11	4	
我真的受伤了独奏__jianpucn-213538	images-prep/jianpucn-zhangxueyou/我真的受伤了独奏__jianpucn-213538	jianpucn-213538	0	190	11	
月半弯(《吻别 歌曲改编的钢琴曲》)__jianpucn-419935	images-prep/jianpucn-zhangxueyou/月半弯(《吻别 歌曲改编的钢琴曲》)__jianpucn-419935	jianpucn-419935	0	44	5	
楼上来的声音 吉他类 流行__jianpucn-91229	images-prep/jianpucn-zhangxueyou/楼上来的声音 吉他类 流行__jianpucn-91229	jianpucn-91229	0	12	6	
深海(《吻别 歌曲改编的钢琴曲》)__jianpucn-419927	images-prep/jianpucn-zhangxueyou/深海(《吻别 歌曲改编的钢琴曲》)__jianpucn-419927	jianpucn-419927	0	55	5	
眼泪（黄国伦词曲、彼岸吉他编配曲）__jianpucn-290401	images-prep/jianpucn-zhangxueyou/眼泪（黄国伦词曲、彼岸吉他编配曲）__jianpucn-290401	jianpucn-290401	0	55	6	
祝福(《吻别 歌曲改编的钢琴曲》)__jianpucn-419936	images-prep/jianpucn-zhangxueyou/祝福(《吻别 歌曲改编的钢琴曲》)__jianpucn-419936	jianpucn-419936	0	44	5	
祝福-弹唱版__jianpucn-102601	images-prep/jianpucn-zhangxueyou/祝福-弹唱版__jianpucn-102601	jianpucn-102601	0	181	5	
祝福（晓涛编配版）__jianpucn-295628	images-prep/jianpucn-zhangxueyou/祝福（晓涛编配版）__jianpucn-295628	jianpucn-295628	0	42	6	
祝福（钢琴伴奏谱）（丁晓雯词 郭子曲、车路遥配伴奏）__jianpucn-280083	images-prep/jianpucn-zhangxueyou/祝福（钢琴伴奏谱）（丁晓雯词 郭子曲、车路遥配伴奏）__jianpucn-280083	jianpucn-280083	0	110	5	
离人 （ C调指法原版编配）__jianpucn-462436	images-prep/jianpucn-zhangxueyou/离人 （ C调指法原版编配）__jianpucn-462436	jianpucn-462436	0	37	6	
还是觉得你最好 （ C调指法）__jianpucn-462477	images-prep/jianpucn-zhangxueyou/还是觉得你最好 （ C调指法）__jianpucn-462477	jianpucn-462477	0	14	6	
遥远的她 （ C调指法原版编配）__jianpucn-470992	images-prep/jianpucn-zhangxueyou/遥远的她 （ C调指法原版编配）__jianpucn-470992	jianpucn-470992	0	52	6	
饿狼传说尤克里里谱（ C调尤克里里弹唱谱）__jianpucn-462461	images-prep/jianpucn-zhangxueyou/饿狼传说尤克里里谱（ C调尤克里里弹唱谱）__jianpucn-462461	jianpucn-462461	0	64	4	
黑白画映-弹唱 吉他类 流行__jianpucn-112923	images-prep/jianpucn-zhangxueyou/黑白画映-弹唱 吉他类 流行__jianpucn-112923	jianpucn-112923	0	171	6	
吉祥颂(五线谱_简谱对照)__jianpucn-44819	images-prep/jianpucn-zhangye/吉祥颂(五线谱_简谱对照)__jianpucn-44819	jianpucn-44819	0	66	5	
大海 （ A调指法原版编配）__jianpucn-469231	images-prep/jianpucn-zhangyusheng/大海 （ A调指法原版编配）__jianpucn-469231	jianpucn-469231	0	59	6	
大海C调吉他谱__jianpucn-156843	images-prep/jianpucn-zhangyusheng/大海C调吉他谱__jianpucn-156843	jianpucn-156843	0	68	6	
我期待 弹唱版__jianpucn-218499	images-prep/jianpucn-zhangyusheng/我期待 弹唱版__jianpucn-218499	jianpucn-218499	0	149	5	
A promise（钢琴谱 五线谱）__jianpucn-186264	images-prep/jianpucn-pop/A promise（钢琴谱 五线谱）__jianpucn-186264	jianpucn-186264	0	104	5	
G大调的悲伤（钢琴弹唱）__jianpucn-302900	images-prep/jianpucn-pop/G大调的悲伤（钢琴弹唱）__jianpucn-302900	jianpucn-302900	0	85	5	
《如果这就是爱情》小霖重新编配版__jianpucn-231185	images-prep/jianpucn-pop/《如果这就是爱情》小霖重新编配版__jianpucn-231185	jianpucn-231185	0	227	7	
《画心》 C调入门版 编配 猴哥吉他教学__jianpucn-439341	images-prep/jianpucn-pop/《画心》 C调入门版 编配 猴哥吉他教学__jianpucn-439341	jianpucn-439341	0	55	6	
可 （ 薛之谦 C调原版弹唱谱）__jianpucn-458885	images-prep/jianpucn-pop/可 （ 薛之谦 C调原版弹唱谱）__jianpucn-458885	jianpucn-458885	0	5	6	
围城(吉他谱_版本2)__jianpucn-91145	images-prep/jianpucn-pop/围城(吉他谱_版本2)__jianpucn-91145	jianpucn-91145	0	39	6	
我走以后(吉他谱)__jianpucn-91104	images-prep/jianpucn-pop/我走以后(吉他谱)__jianpucn-91104	jianpucn-91104	0	70	6	
我走以后（约翰 汤普森 成人钢琴教程 第三册）__jianpucn-347541	images-prep/jianpucn-pop/我走以后（约翰 汤普森 成人钢琴教程 第三册）__jianpucn-347541	jianpucn-347541	0	75	5	
终于等到你（电视剧《咱们结婚吧》片尾主题曲）（小叶歌编配版 ）__jianpucn-272182	images-prep/jianpucn-pop/终于等到你（电视剧《咱们结婚吧》片尾主题曲）（小叶歌编配版 ）__jianpucn-272182	jianpucn-272182	0	68	6	
《寂寞沙洲冷》 G调入门版 编配 猴哥吉他教学__jianpucn-439559	images-prep/jianpucn-zhouchuanxiong/《寂寞沙洲冷》 G调入门版 编配 猴哥吉他教学__jianpucn-439559	jianpucn-439559	0	55	6	
全网首发【赋别曲】吉他伴奏谱__jianpucn-191604	images-prep/jianpucn-zhouchuanxiong/全网首发【赋别曲】吉他伴奏谱__jianpucn-191604	jianpucn-191604	0	6	6	
寂寞沙洲冷-简易版-弹唱 吉他类 流行__jianpucn-112973	images-prep/jianpucn-zhouchuanxiong/寂寞沙洲冷-简易版-弹唱 吉他类 流行__jianpucn-112973	jianpucn-112973	0	64	6	
黄昏（吉他 ）__jianpucn-304176	images-prep/jianpucn-zhouchuanxiong/黄昏（吉他 ）__jianpucn-304176	jianpucn-304176	0	77	6	
《让我欢喜让我忧》 中级版 带弹唱示范 编谱__jianpucn-473246	images-prep/jianpucn-zhouhuajian/《让我欢喜让我忧》 中级版 带弹唱示范 编谱__jianpucn-473246	jianpucn-473246	0	55	6	
上上签-认证谱吉他谱( 六线谱)__jianpucn-94419	images-prep/jianpucn-zhouhuajian/上上签-认证谱吉他谱( 六线谱)__jianpucn-94419	jianpucn-94419	0	34	6	
亲亲我的宝贝-jilai编配版__jianpucn-171455	images-prep/jianpucn-zhouhuajian/亲亲我的宝贝-jilai编配版__jianpucn-171455	jianpucn-171455	0	36	6	
亲亲我的宝贝（纪来编配版）__jianpucn-300626	images-prep/jianpucn-zhouhuajian/亲亲我的宝贝（纪来编配版）__jianpucn-300626	jianpucn-300626	0	85	6	
其实不想走 吉他类 流行__jianpucn-91222	images-prep/jianpucn-zhouhuajian/其实不想走 吉他类 流行__jianpucn-91222	jianpucn-91222	0	37	6	
明天我要嫁给你 吉他类 流行__jianpucn-91227	images-prep/jianpucn-zhouhuajian/明天我要嫁给你 吉他类 流行__jianpucn-91227	jianpucn-91227	0	3	6	
明天我要嫁给你（吉他 ）__jianpucn-297796	images-prep/jianpucn-zhouhuajian/明天我要嫁给你（吉他 ）__jianpucn-297796	jianpucn-297796	0	64	7	
最真的梦 吉他类 流行__jianpucn-117680	images-prep/jianpucn-zhouhuajian/最真的梦 吉他类 流行__jianpucn-117680	jianpucn-117680	0	41	6	
最真的梦 （ C调原版编配）__jianpucn-457960	images-prep/jianpucn-zhouhuajian/最真的梦 （ C调原版编配）__jianpucn-457960	jianpucn-457960	0	41	6	
真心英雄 吉他类 流行__jianpucn-117681	images-prep/jianpucn-zhouhuajian/真心英雄 吉他类 流行__jianpucn-117681	jianpucn-117681	0	7	6	
真心英雄(总谱之一、华尔兹)__jianpucn-59752	images-prep/jianpucn-zhouhuajian/真心英雄(总谱之一、华尔兹)__jianpucn-59752	jianpucn-59752	0	28	6	
真心英雄(总谱之二、华尔兹)__jianpucn-59748	images-prep/jianpucn-zhouhuajian/真心英雄(总谱之二、华尔兹)__jianpucn-59748	jianpucn-59748	0	62	5	
让我欢喜让我忧 （ C调指法）__jianpucn-467407	images-prep/jianpucn-zhouhuajian/让我欢喜让我忧 （ C调指法）__jianpucn-467407	jianpucn-467407	0	79	6	
让我欢喜让我忧-伴奏__jianpucn-102787	images-prep/jianpucn-zhouhuajian/让我欢喜让我忧-伴奏__jianpucn-102787	jianpucn-102787	0	128	5	
难念的经 （ C调指法原版编配）__jianpucn-469967	images-prep/jianpucn-zhouhuajian/难念的经 （ C调指法原版编配）__jianpucn-469967	jianpucn-469967	0	60	6	
风笑痴 吉他类 流行__jianpucn-91266	images-prep/jianpucn-zhouhuajian/风笑痴 吉他类 流行__jianpucn-91266	jianpucn-91266	0	44	6	
风雨无阻（ukulele弹唱谱）__jianpucn-304749	images-prep/jianpucn-zhouhuajian/风雨无阻（ukulele弹唱谱）__jianpucn-304749	jianpucn-304749	0	40	4	
Jay《黑色毛衣》演奏谱 -蓝的调编配版__jianpucn-103001	images-prep/jianpucn-zhoujielun/Jay《黑色毛衣》演奏谱 -蓝的调编配版__jianpucn-103001	jianpucn-103001	0	121	5	
MOJITO( C调弹唱谱)__jianpucn-445036	images-prep/jianpucn-zhoujielun/MOJITO( C调弹唱谱)__jianpucn-445036	jianpucn-445036	0	42	6	
Mojito （ C调指法原版编配）__jianpucn-471754	images-prep/jianpucn-zhoujielun/Mojito （ C调指法原版编配）__jianpucn-471754	jianpucn-471754	0	63	6	
《mojito》 中级版 吉他弹唱教学（ 编谱）__jianpucn-445125	images-prep/jianpucn-zhoujielun/《mojito》 中级版 吉他弹唱教学（ 编谱）__jianpucn-445125	jianpucn-445125	0	74	6	
《mojito》 初级简单版 吉他弹唱教学（ 编谱）__jianpucn-445126	images-prep/jianpucn-zhoujielun/《mojito》 初级简单版 吉他弹唱教学（ 编谱）__jianpucn-445126	jianpucn-445126	0	75	6	
《不能说的秘密》笛子钢琴合奏__jianpucn-106451	images-prep/jianpucn-zhoujielun/《不能说的秘密》笛子钢琴合奏__jianpucn-106451	jianpucn-106451	0	56	5	
《哎呦~不错嘛!》周杰伦钢琴大串烧__jianpucn-181257	images-prep/jianpucn-zhoujielun/《哎呦~不错嘛!》周杰伦钢琴大串烧__jianpucn-181257	jianpucn-181257	0	98	5	
