榜单	曲名	歌手	判定	库里曲名	库里文件	证据
eval_set_cn_pop_100classics	沉默是金	张国荣	命中	沉默是金	沉默是金.txt	title 相等/包含
eval_set_cn_pop_100classics	每天爱你多一些	张学友	命中	每天爱你多一些	每天爱你多一些.txt	title 相等/包含
eval_set_cn_pop_100classics	甜蜜蜜	邓丽君	命中	甜蜜蜜	甜蜜蜜.txt	title 相等/包含
eval_set_cn_pop_100classics	光阴的故事	罗大佑	命中	光阴的故事	光阴的故事_歌曲类.txt	title 相等/包含
eval_set_cn_pop_100classics	风雨同路	徐小凤	模糊候选	风雨同舟		相似度 0.75
eval_set_cn_pop_100classics	一样的月光	苏芮	命中	一样的月光	一样的月光.txt	title 相等/包含
eval_set_cn_pop_100classics	真的汉子	林子祥	命中	真的汉子	真的汉子.txt	title 相等/包含
eval_set_cn_pop_100classics	似是故人来	梅艳芳	命中	似是故人来	似是故人来.txt	title 相等/包含
eval_set_cn_pop_100classics	爱上一个不回家的人	林忆莲	命中	林忆莲爱上一个不回家的人	林忆莲-爱上一个不回家的人.txt	title 相等/包含
eval_set_cn_pop_100classics	追梦人	凤飞飞	命中	追梦人	追梦人_歌曲类.txt	title 相等/包含
eval_set_cn_pop_100classics	铁血丹心	罗文/甄妮	命中	铁血丹心	铁血丹心.txt	title 相等/包含
eval_set_cn_pop_100classics	世间始终你好	罗文/甄妮	命中	世间始终你好	世间始终你好.txt	title 相等/包含
eval_set_cn_pop_100classics	听海	张惠妹	命中	听海	听海.txt	title 相等/包含
eval_set_cn_pop_100classics	明天你是否依然爱我	童安格	库里没有			
eval_set_cn_pop_100classics	偏偏喜欢你	陈百强	命中	偏偏喜欢你	偏偏喜欢你.txt	title 相等/包含
eval_set_cn_pop_100classics	光辉岁月	BEYOND	命中	光辉岁月	光辉岁月.txt	title 相等/包含
eval_set_cn_pop_100classics	天籁……星河传说	关正杰	库里没有			
eval_set_cn_pop_100classics	征服	那英	模糊候选	征服天堂		相似度 0.67
eval_set_cn_pop_100classics	潇洒走一回	叶倩文	命中	潇洒走一回	潇洒走一回.txt	title 相等/包含
eval_set_cn_pop_100classics	沙滩	陶喆	模糊候选	白沙滩		相似度 0.80
eval_set_cn_pop_100classics	哭砂	黄莺莺	命中	哭砂	哭砂.txt	title 相等/包含
eval_set_cn_pop_100classics	容易受伤的女人	王菲	命中	容易受伤的女人	容易受伤的女人.txt	title 相等/包含
eval_set_cn_pop_100classics	让我欢喜让我忧	周华健	命中	让我欢喜让我忧	让我欢喜让我忧_歌曲类.txt	title 相等/包含
eval_set_cn_pop_100classics	今宵多珍重	崔萍	库里没有			
eval_set_cn_pop_100classics	泪的小雨	青山	命中	泪的小雨	泪的小雨.txt	title 相等/包含
eval_set_cn_pop_100classics	一起走过的日子	刘德华	命中	一起走过	一起走过.txt	title 相等/包含
eval_set_cn_pop_100classics	每段路	吕方	库里没有			
eval_set_cn_pop_100classics	哪有一天不想你	黎明	模糊候选	一天天想你		相似度 0.67
eval_set_cn_pop_100classics	终身美丽	郑秀文	库里没有			
eval_set_cn_pop_100classics	半斤八两	许冠杰	命中	半斤八两	半斤八两.txt	title 相等/包含
eval_set_cn_pop_100classics	最后一夜	蔡琴	模糊候选	最后一页		相似度 0.75
eval_set_cn_pop_100classics	富士山下	陈奕迅	命中	富士山下	富士山下.txt	title 相等/包含
